TIMESTAMP,Calendrier,HTB
994,P,21.8
995,P,21.8
996,HPH,18
997,HPH,18
998,HPH,18
999,HPH,18
1000,HPH,18
1001,HPH,18
1002,HPH,18
1003,P,21.8
1004,P,21.8
1005,HPH,18
1006,HPH,18
1007,HPH,18
1008,HCH,15.3
1009,HCH,15.3
1010,HCH,15.3
1011,HCH,15.3
1012,HCH,15.3
1013,HCH,15.3
1014,HCH,15.3
1015,HCH,15.3
1016,HPH,18
1017,HPH,18
1018,P,21.8
1019,P,21.8
1020,HPH,18
1021,HPH,18
1022,HPH,18
1023,HPH,18
1024,HPH,18
1025,HPH,18
1026,HPH,18
1027,P,21.8
1028,P,21.8
1029,HPH,18
1030,HPH,18
1031,HPH,18
1032,HCH,15.3
1033,HCH,15.3
1034,HCH,15.3
1035,HCH,15.3
1036,HCH,15.3
1037,HCH,15.3
1038,HCH,15.3
1039,HCH,15.3
1040,HPH,18
1041,HPH,18
1042,P,21.8
1043,P,21.8
1044,HPH,18
1045,HPH,18
1046,HPH,18
1047,HPH,18
1048,HPH,18
1049,HPH,18
1050,HPH,18
1051,P,21.8
1052,P,21.8
1053,HPH,18
1054,HPH,18
1055,HPH,18
1056,HCH,15.3
1057,HCH,15.3
1058,HCH,15.3
1059,HCH,15.3
1060,HCH,15.3
1061,HCH,15.3
1062,HCH,15.3
1063,HCH,15.3
1064,HPH,18
1065,HPH,18
1066,P,21.8
1067,P,21.8
1068,HPH,18
1069,HPH,18
1070,HPH,18
1071,HPH,18
1072,HPH,18
1073,HPH,18
1074,HPH,18
1075,P,21.8
1076,P,21.8
1077,HPH,18
1078,HPH,18
1079,HPH,18
1080,HCH,15.3
1081,HCH,15.3
1082,HCH,15.3
1083,HCH,15.3
1084,HCH,15.3
1085,HCH,15.3
1086,HCH,15.3
1087,HCH,15.3
1088,HPH,18
1089,HPH,18
1090,P,21.8
1091,P,21.8
1092,HPH,18
1093,HPH,18
1094,HPH,18
1095,HPH,18
1096,HPH,18
1097,HPH,18
1098,HPH,18
1099,P,21.8
1100,P,21.8
1101,HPH,18
1102,HPH,18
1103,HPH,18
1104,HCH,15.3
1105,HCH,15.3
1106,HCH,15.3
1107,HCH,15.3
1108,HCH,15.3
1109,HCH,15.3
1110,HCH,15.3
1111,HCH,15.3
1112,HPH,18
1113,HPH,18
1114,P,21.8
1115,P,21.8
1116,HPH,18
1117,HPH,18
1118,HPH,18
1119,HPH,18
1120,HPH,18
1121,HPH,18
1122,HPH,18
1123,P,21.8
1124,P,21.8
1125,HPH,18
1126,HPH,18
1127,HPH,18
1128,HCH,15.3
1129,HCH,15.3
1130,HCH,15.3
1131,HCH,15.3
1132,HCH,15.3
1133,HCH,15.3
1134,HCH,15.3
1135,HCH,15.3
1136,HPH,18
1137,HPH,18
1138,P,21.8
1139,P,21.8
1140,HPH,18
